x,y
-3.01E-01,-3.05E-20
-3.01E-01,-3.02E-20
-3.01E-01,-2.98E-20
-3.01E-01,-2.93E-20
-3.00E-01,-2.87E-20
-3.00E-01,-2.80E-20
-3.00E-01,-2.73E-20
-3.00E-01,-2.65E-20
-2.99E-01,-2.56E-20
-2.99E-01,-2.47E-20
-2.99E-01,-2.37E-20
-2.99E-01,-2.26E-20
-2.98E-01,-2.14E-20
-2.98E-01,-2.02E-20
-2.98E-01,-1.89E-20
-2.98E-01,-1.76E-20
-2.97E-01,-1.62E-20
-2.97E-01,-1.48E-20
-2.97E-01,-1.33E-20
-2.97E-01,-1.18E-20
-2.96E-01,-1.02E-20
-2.96E-01,-8.61E-21
-2.96E-01,-6.98E-21
-2.96E-01,-5.31E-21
-2.95E-01,-3.63E-21
-2.95E-01,-1.92E-21
-2.95E-01,-1.99E-22
-2.95E-01,1.54E-21
-2.94E-01,3.28E-21
-2.94E-01,5.02E-21
-2.94E-01,6.76E-21
-2.94E-01,8.50E-21
-2.93E-01,1.02E-20
-2.93E-01,1.19E-20
-2.93E-01,1.36E-20
-2.93E-01,1.53E-20
-2.92E-01,1.69E-20
-2.92E-01,1.85E-20
-2.92E-01,2.01E-20
-2.92E-01,2.16E-20
-2.92E-01,2.31E-20
-2.91E-01,2.45E-20
-2.91E-01,2.59E-20
-2.91E-01,2.72E-20
-2.91E-01,2.85E-20
-2.90E-01,2.97E-20
-2.90E-01,3.08E-20
-2.90E-01,3.18E-20
-2.90E-01,3.28E-20
-2.89E-01,3.37E-20
-2.89E-01,3.45E-20
-2.89E-01,3.53E-20
-2.89E-01,3.59E-20
-2.88E-01,3.65E-20
-2.88E-01,3.69E-20
-2.88E-01,3.73E-20
-2.88E-01,3.76E-20
-2.87E-01,3.78E-20
-2.87E-01,3.79E-20
-2.87E-01,3.79E-20
-2.87E-01,3.78E-20
-2.86E-01,3.76E-20
-2.86E-01,3.73E-20
-2.86E-01,3.69E-20
-2.86E-01,3.64E-20
-2.85E-01,3.58E-20
-2.85E-01,3.51E-20
-2.85E-01,3.43E-20
-2.85E-01,3.35E-20
-2.84E-01,3.25E-20
-2.84E-01,3.14E-20
-2.84E-01,3.03E-20
-2.84E-01,2.91E-20
-2.83E-01,2.78E-20
-2.83E-01,2.64E-20
-2.83E-01,2.49E-20
-2.83E-01,2.34E-20
-2.82E-01,2.18E-20
-2.82E-01,2.01E-20
-2.82E-01,1.83E-20
-2.82E-01,1.66E-20
-2.81E-01,1.47E-20
-2.81E-01,1.28E-20
-2.81E-01,1.09E-20
-2.81E-01,8.88E-21
-2.81E-01,6.86E-21
-2.80E-01,4.81E-21
-2.80E-01,2.73E-21
-2.80E-01,6.40E-22
